raw_affiliation,affiliation_name,wikidata
"Yahoo Labs, New York, NY, USA",yahoo labs,https://www.wikidata.org/wiki/Q37093
"School of Computing, Informatics, Decision Systems Engineering, Arizona State University, Tempe, AZ, USA",arizona state university,http://www.wikidata.org/entity/Q670897
"Department of Computer Science & Engineering, University of Notre Dame, Notre Dame, IN, USA",university of notre dame,http://www.wikidata.org/entity/Q178848
"Department of Computer Science, Peking University, Beijing, China",peking university,http://www.wikidata.org/entity/Q16952
"Academy of Arts & Design, Tsinghua University, Beijing, China",tsinghua university,http://www.wikidata.org/entity/Q16955
"School of Software, Shandong University, Jinan, China",shandong university,http://www.wikidata.org/entity/Q604470
"School of Computer Science and Engineering, Nanjing University of Science and Technology, Nanjing, China",nanjing university of science and technology,http://www.wikidata.org/entity/Q3953805
"Inria, CNRS, Grenoble INP, LJK, Univercity Grenoble Alpes, Grenoble, France",univercity grenoble alpes,https://www.wikidata.org/wiki/Special:EntityPage/Q945876
"Mathematics, University of Science and Technology of China, Hefei, Anhui, China",university of science and technology of china,http://www.wikidata.org/entity/Q1074103
"Computer Science, New York University Courant Institute of Mathematical Sciences, New York, NY, USA",new york university courant institute of mathematical sciences,https://www.wikidata.org/wiki/Q49210
"Computer Science, New York University Courant Institute of Mathematical Sciences, New Yor, NY, USA",new york university courant institute of mathematical sciences,https://www.wikidata.org/wiki/Q49210
"RWTH Aachen University, Aachen, Germany",rwth aachen university,http://www.wikidata.org/entity/Q273263
"Institute of Computer Graphics and Vision, Graz University of Technology, Graz, Austria",graz university of technology,http://www.wikidata.org/entity/Q689775
"Virtual Worlds and Digital Games Group, Ilmenau University of Technology, Ilmenau, Germany",ilmenau university of technology,http://www.wikidata.org/entity/Q129195
"Department of Information and Computer Science, Keio University, Minato City, Tokyo, Japan",keio university,http://www.wikidata.org/entity/Q815432
"Université de Reims Champagne-Ardenne, Reims, France",université de reims champagne-ardenne,http://www.wikidata.org/entity/Q2496149
"Grup de Recerca de Tecnologies Interactives, Universitat Pompeu Fabra, Barcelona, Spain",universitat pompeu fabra,http://www.wikidata.org/entity/Q24543
"IRISA, University of Rennes, 1 Rennes, France",university of rennes,http://www.wikidata.org/entity/Q1987282
"School of Computer Science and Technology, Shandong University, Qingdao, Shandong, China",shandong university,http://www.wikidata.org/entity/Q604470
"Department of Computer Science, Ben-Gurion University, Beersheba, Israel",ben-gurion university,http://www.wikidata.org/entity/Q737332
"Peking University, Beijing, China",peking university,http://www.wikidata.org/entity/Q16952
"Northwestern University, Evanston, IL, USA",northwestern university,http://www.wikidata.org/entity/Q309350
"Utrecht University, Utrecht, Netherlands",utrecht university,http://www.wikidata.org/entity/Q221653
"Institute of Visualization and Interactive Systems, University of Stuttgart, Stuttgart, Germany",university of stuttgart,http://www.wikidata.org/entity/Q122453
"Institute of Art History, University of Stuttgart, Stuttgart, Germany",university of stuttgart,http://www.wikidata.org/entity/Q122453
"Department of Computer Science, Interactive Graphics and Simulation Group, University of Innsbruck, Innsbruck, Tyrol, Austria",university of innsbruck,http://www.wikidata.org/entity/Q875788
"Multimedia Communications Lab, Technische Universität Darmstadt, Darmstadt, Germany",technische universität darmstadt,http://www.wikidata.org/entity/Q310695
"Tecgraf Institute/PUC-Rio, Brazil",tecgraf institute/puc-rio,http://www.inf.puc-rio.br/en/laboratory/instituto-tecgraf/
"IBM, Armonk, NY, USA",ibm,http://www.wikidata.org/entity/Q37156
"Le2i (FRE 2005) Lab, Arts et Métiers, CNRS, Institut Image, 2 rue T. Dumorey, Univ. Bourgogne Franche-Comté, HeSam, Chalon-sur-Saone, France",university bourgogne franche-comté,https://www.wikidata.org/wiki/Q64712051
"VR and Immersive Simulation Center, Renault, Guyancourt, France",vr and immersive simulation center,http://www.wikidata.org/entity/Q36496
"Le2i (FRE 2005) lab, Arts et Métiers, CNRS, HeSam, Institut Image, 2 rue T. Dumorey, Univ. Bourgogne Franche-Comté, Chalon-sur-Saone, France",university bourgogne franche-comté,https://www.wikidata.org/wiki/Q64712051
"Mech. Eng. Dept., Hong Kong Univ. of Sci. & Technol., Hong Kong",hong kong university of science & technology,https://www.wikidata.org/wiki/Q1333303
"University of California, Los Angeles, Los Angeles",university of california,http://www.wikidata.org/entity/Q622664
"University of California, Santa Barbara, Santa Barbara",university of california,http://www.wikidata.org/entity/Q622664
"University of Florida, Gainesville",university of florida,http://www.wikidata.org/entity/Q501758
"Medical College of Georgia, Augusta",medical college of georgia,http://www.wikidata.org/entity/Q16973985
"Northwestern University, Chicago",northwestern university,http://www.wikidata.org/entity/Q309350
"University of North Carolina, Chapel Hill, Chapel Hill",university of north carolina,http://www.wikidata.org/entity/Q192334
"Dokuz Eylül University, Izmir",dokuz eylül university,http://www.wikidata.org/entity/Q1235258
"Pacific Northwest National Laboratory, Richland",pacific northwest national laboratory,http://www.wikidata.org/entity/Q1076890
"Purdue University, West Lafayette",purdue university,http://www.wikidata.org/entity/Q217741
"University of Washington, Seattle",university of washington,http://www.wikidata.org/entity/Q219563
"Eyescale Software, Neuchatel and University of Zurich, Zurich",neuchatel and university of zurich,https://www.wikidata.org/wiki/Q206702
"University of Zurich, Zurich",university of zurich,http://www.wikidata.org/entity/Q206702
"Pohang University of Science and Technology (POSTECH), Pohang",pohang university of science and technology (postech),https://www.wikidata.org/wiki/Q40018
"Korea University, Seoul",korea university,http://www.wikidata.org/entity/Q39997
"University of Edinburgh, Edinburgh",university of edinburgh,http://www.wikidata.org/entity/Q160302
"Albert-Ludwigs-University Freiburg, Freiburg",albert-ludwigs-university freiburg,https://www.wikidata.org/wiki/Q153987
"University of Louisiana at Lafayette, Lafayette",university of louisiana at lafayette,http://www.wikidata.org/entity/Q116485
"Stony Brook University, Stony Brook",stony brook university,http://www.wikidata.org/entity/Q969850
"Rutgers University, Piscataway",rutgers university,http://www.wikidata.org/entity/Q499451
"Stanford University, Stanford, CA",stanford university,http://www.wikidata.org/entity/Q41506
"Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India",indian institute of science,http://www.wikidata.org/entity/Q948720
"Department of Meteorology, Stockholm University, Stockholm, Sweden",stockholm university,http://www.wikidata.org/entity/Q221645
"Computer Science Department, Carnegie Mellon University, Pittsburgh, PA",carnegie mellon university,http://www.wikidata.org/entity/Q190080
"Department of Science and Technology, Linkoping University, Linkoping, Sweden",linkoping university,http://www.wikidata.org/entity/Q782600
"Department of Computer Science, Brown University, Providence, RI",brown university,http://www.wikidata.org/entity/Q49114
"Department of Computer Science, Worcester Polytechnic Institute, Worcester, MA",worcester polytechnic institute,http://www.wikidata.org/entity/Q195046
"Departments of Computer Science and Psychology, University of British Columbia, Vancouver, BC, Canada",university of british columbia,http://www.wikidata.org/entity/Q391028
"Psychology Department, Northwestern University, Evanston, IL",northwestern university,http://www.wikidata.org/entity/Q309350
"Department of Computer Science, Tufts University, Medford, MA",tufts university,http://www.wikidata.org/entity/Q49120
"Faculty of Media, Bauhaus-Universitaet Weimar, Weimar, Thuringia, Germany",bauhaus-universitaet weimar,https://www.wikidata.org/wiki/Q573975
"Department of Computer Science, TU Kaiserslautern, Kaiserslautern, Germany",department of computer science,http://www.wikidata.org/entity/Q5260200
